"","ID","Genes","Promoter","CpGs","DE"
"266","""20_30432850""","DUSP15;FOXS1",TRUE,FALSE,FALSE
"267","""20_30535281""","PDRG1",TRUE,FALSE,FALSE
"268","""20_30547877""","XKR7",TRUE,FALSE,FALSE
"269","""20_30595567""","CCM2L;RNA5SP481",TRUE,FALSE,FALSE
"270","""20_30611954""","RP1-310O13.7",TRUE,FALSE,FALSE
"271","""20_30695849""","TM9SF4",TRUE,FALSE,FALSE
"272","""20_31167858""","C20orf112;RP11-410N8.1;RP11-410N8.4",TRUE,FALSE,FALSE
"273","""20_60638150""","hsa-mir-3195;TAF4",TRUE,FALSE,FALSE
"274","""20_60799030""","OSBPL2",TRUE,FALSE,FALSE
"275","""20_60871672""","ADRM1;LAMA5;RP11-157P1.4",TRUE,FALSE,FALSE
"276","""20_61210857""","RP13-30A9.1;RP13-30A9.2",TRUE,FALSE,FALSE
"277","""20_61272978""","RP11-93B14.6;SLCO4A1",TRUE,FALSE,FALSE
"278","""20_61286054""","RP11-93B14.5;SLCO4A1",TRUE,FALSE,FALSE
"279","""20_61339007""","NTSR1",TRUE,FALSE,FALSE
"280","""20_61405091""","LINC00659",TRUE,FALSE,FALSE
"281","""20_61417415""","MRGBP",TRUE,FALSE,FALSE
"282","""20_61430694""","OGFR-AS1;OGFR",TRUE,FALSE,FALSE
"283","""20_61447559""","COL9A3",TRUE,FALSE,FALSE
"284","""20_61633544""","BHLHE23;RP11-305P22.9",TRUE,FALSE,FALSE
"285","""20_62486746""","ABHD16B;C20ORF135;TPD52L2",TRUE,FALSE,FALSE
"286","""21_44845321""","SIK1",TRUE,FALSE,FALSE
"287","""21_46821604""","COL18A1-AS2;COL18A1",TRUE,FALSE,FALSE
"288","""21_46961624""","SLC19A1",TRUE,FALSE,FALSE
"289","""3_9925635""","IL17RE;JAGN1",TRUE,FALSE,FALSE
"290","""3_10324247""","GHRLOS;LINC00852",TRUE,FALSE,FALSE
"291","""3_167447672""","PDCD10;SERPINI1",TRUE,FALSE,FALSE
"292","""3_178863488""","PIK3CA;RP11-360P21.2",TRUE,FALSE,FALSE
"293","""3_178886215""","SNORA25",TRUE,FALSE,FALSE
"294","""3_178984568""","KCNMB3",TRUE,FALSE,FALSE
"295","""3_179037674""","ZNF639",TRUE,FALSE,FALSE
