"baitName","oeName"
"GPR65","DDX24;IFI27L1"
"GLRX5;SCARNA13","DICER1-AS1;DICER1"
"GLRX5;SCARNA13","RP11-1070N10.3"
"GLRX5;SCARNA13","PAPOLA;RP11-872J21.3"
"RP11-1029J19.2;RP11-168L7.3","MEG3;RP11-123M6.2"
"RP11-1029J19.2;RP11-168L7.3","AL117190.1"
"RP11-1029J19.2;RP11-168L7.3","SNORD112;SNORD113-2"
"AMN","RCOR1"
"AMN","RP11-661D19.3;TRAF3"
"AMN","snoU13"
"AMN","AL117209.1"
"DUT;RP11-154J22.1;Y_RNA","CEP152;RP11-485O10.3"
"ANXA2","GTF2A2"
"ANXA2","BNIP2;RP11-361D15.2"
"MAP2K1;TIPIN","MIR4512;SNAPC5"
"MAP2K1;TIPIN","RPL4;SNORD16;SNORD18A;SNORD18B;SNORD18C"
"PKM","ARIH1;RP11-1007O24.2;RP11-1007O24.3"
"SEMA4B","MESP1"
"SEMA4B","NGRN"
"KAT8;RP11-196G11.4","SETD1A"
"KAT8;RP11-196G11.4","AC135048.1;HSD3B7;STX1B"
"KAT8;RP11-196G11.4","KAT8;PRSS36;PRSS8;RP11-388M20.2"
"KAT8;RP11-196G11.4","PRSS36"
"KAT8;RP11-196G11.4","FUS;RP11-388M20.6"
"KAT8;RP11-196G11.4","C16orf98;PYCARD"
"KAT8;RP11-196G11.4","RNU7-199P"
"KAT8;RP11-196G11.4","ITGAX;RP11-120K18.3"
"KAT8;RP11-196G11.4","COX6A2"
"KAT8;RP11-196G11.4","ARMC5"
"NOD2","CNEP1R1"
"NOD2","HEATR3;RP11-429P3.3"
"NOD2","PAPD5;RPL10P14;SNORA70"
"NOD2","snoU13"
"NOD2","BRD7;RP11-21B23.1"
"NOD2","SNORD112"
"NOD2","NKD1"
"NOD2","RP11-401P9.6"
"NOD2","SNX20"
"NOD2","CYLD;hsa-mir-3181;RP11-327F22.1"
"MT1H","BBS2"
"MT1H","MT3"
"MT1H","MT2A"
"MT1H","MT1A"
"MT1H","MT1X;RP11-343H19.2"
"CMTM2;RP11-403P17.2","CDH5"
"CMTM2;RP11-403P17.2","BEAN1"
"CMTM2;RP11-403P17.2","AC132186.1;BEAN1"
"CMTM2;RP11-403P17.2","CKLF-CMTM1;CKLF;TK2;Y_RNA"
"AGRP","RLTPR"
"AGRP","ACD;ENKD1;PARD6A;RLTPR"
"AGRP","C16orf86;ENKD1"
"AGRP","GFOD2"
"AGRP","CENPT;NUTF2;THAP11"
"AGRP","EDC4"
"AGRP","AC040162.1;EDC4"
"AGRP","NRN1L"
"AGRP","DUS2;RP11-67A1.2"
"CENPN;CMC2","WWOX"
